,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
3345,inquiry erp status unable access es portal,inquiry erp status unable access es portal,aqdjcuhn lagfitkz,GRP_0,English,English,English,42,42,7,7
3346,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
3347,job bkbackup tool powder prod full failed job scheduler,received job bkbackup tool powder prod full failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,64,55,10,9
3348,job sid hoti failed job scheduler,received job sid hoti failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,42,33,7,6
3349,job sid hoti failed job scheduler,received job sid hoti failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,42,33,7,6
3350,vip workflow notification universal worklist,vip ticket received reviewed joothyst clrgtydia problem caused exclusion list workflow problem security configuration joftgost receives item universal worklist mail notification traced screen screenshot attached incident see mail address joftgost incorrectly please update dear madam sir longer receiving workflow notification outlook inbox restore kind,dxyvfuhr uyfqgomx,GRP_2,English,English,English,353,44,44,5
3351,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_10,English,English,English,37,28,6,5
3352,crmdynamics deployment query,crm dynamic deployment query,tmopbken ibzougsd,GRP_0,English,English,English,28,28,4,3
3353,uacyltoe hxgaycze message email,efbwiadp dicafxhv sent saturday september shesyhur posrt subject inc uacyltoe hxgaycze message hello shesyhur checked issue reported previously upgrade user getting email uacyltoe hxgayczeing email configuration please aware part upgrade safely deleted,cfzsajbe lyejkdho,GRP_0,English,English,English,252,31,32,4
3354,yahoo email skype team viewer loading internet working,yahoo email skype team viewer loading internet working,deaokmqp oruitnmx,GRP_0,English,English,English,54,54,8,8
3355,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
3356,uacyltoe hxgaycze email sent neerthyu agrtywal neerthyu sent uacyltoe hxgaycze email advise,neerthyu agrtywal sent saturday september nwfodmhc exurcwkm subject uacyltoe hxgaycze message importance low received email show sent sent uacyltoe hxgaycze email look matheywter advise,okycwstu tvrnbgfs,GRP_0,English,English,English,185,91,24,12
3357,sound issue issue,sound issue issue,crjhotyk pxslorbe,GRP_0,English,English,English,17,17,3,3
3358,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
3359,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
3360,erp log balancing error vpn issue,erp log balancing error vpn issue,goaxzsql qpjnbgsa,GRP_0,English,English,English,33,33,6,6
3361,plant network drive deleted computer unable work,anyway add network drive back computer send instruction add computer,zqpyrxsn zihmunyb,GRP_12,English,English,English,68,48,10,7
3362,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
3363,pls help unable connect vpn,received hello please helo subject matheywter pls see snapshot cid image jpg sid,vxhyftae tbkyfdli,GRP_0,English,English,English,80,27,13,5
3364,job apo cif psid failed job scheduler,received job apo cif psid failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,46,37,8,7
3365,job apo cif pd failed job scheduler,received job apo cif pd failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,44,35,8,7
3366,job apo cif pd failed job scheduler,received job apo cif pd failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,44,35,8,7
3367,job apo cif pd failed job scheduler,received job apo cif pd failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,44,35,8,7
3368,job bkwin infonet full failed job scheduler,received job bkwin infonet full failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,52,43,8,7
3369,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
3370,unable access engineering tool,unable access engineering tool due vpn,uvjpaeli bnphqsxr,GRP_0,English,English,English,38,30,6,4
3371,job sid filesys failed job scheduler,received job sid filesys failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,45,36,7,6
3372,able login vpn,able login vpn advised caller restart system check internet connection advised caller logon company vpn caller confirmed able login issue resolved,psikzmba stumdcqp,GRP_0,English,English,English,146,14,21,3
3373,urgent help required outlook crm mfg tooltion issue,received sure error came several time attempting add email crm cid image png sid def bottom email show added email crm cannot find anywhere cid image png sid click view crm get error cid image png sid cid image jpg sid click cid image png sid plant open new large crm page show created calendar date show regular crm even closing reopening cid image png sid plant show regular crm cid image png sid,jhxwiply midhcnze,GRP_40,English,English,English,398,51,74,8
3374,vip time setting collaboration platform,received experiencing problem elt folder collaboration platform collaboration platform view elt meeting current updating document uploaded told time setting lpoebzsc grknswyo tried reset system reset please look fix problem,ebikdrqw empubwxo,GRP_16,English,English,English,223,39,29,5
3375,login issue,login issue verified user detail employee manager name checked user name unlocked account advised user login check caller confirmed able login issue resolved,dbfrevtj wbrpdxnj,GRP_0,English,English,English,157,11,23,2
3376,crm installation,crm installation connected user system using teamviewer installed mscrm add outlook launched outlook user able see crm add outlook issue resolved,jkelxorm uwqjlzfm,GRP_0,English,English,English,145,16,21,2
3377,zbxljotu cbunzrak ihre rechnung zur bestellung vom,zbxljotu cbunzrak ihre rechnung zur bestellung vom error account order,zbxljotu cbunzrak,GRP_26,English,English,English,70,50,10,7
3378,outlook configuration vpn connectivity,outlook configuration vpn connectivity,tgewaniq yepifgbl,GRP_0,English,English,English,38,38,4,4
3379,engineering tool login issue,engineering tool login issue connected user system using teamviewer unlocked user account caller confirmed able login issue resolved,vyjmlain hvjbmdgi,GRP_0,English,English,English,132,28,18,4
3380,urgent help required outlook crm mfg tooltion issue,urgent help required outlook crm mfg tooltion issue need crm tab outlook,kvqtzayg ehjrviak,GRP_0,English,English,English,72,51,12,8
3381,dell skype audio working,dell skype audio working connected user system using teamviewer updated sound driver restarted user able listen audio skype call issue resolved,tmhflanr snbvcido,GRP_0,English,English,English,143,24,21,4
3382,support,received hello could please help add customer engineering tool software maquinados precision mex magonza evercast tecnologia maquinados hidra saludos johjkse luartusa rahymos representante ventas zona bajio este mensaje est destinado uso exclusivo persona quien est dirigido puede contener informaci privilegiada confidencial que est exenta ser revelada conforme con dispuesto legislaci vigente toda difusi distribuci reproducci este mensaje por parte otra persona que sea receptor que est destinado queda estrictamente prohibida recibe este mensaje por error ruega que notifique remitente borre este mensaje company post select following link view disclaimer alternate language este mensaje est destinado uso exclusivo persona quien est dirigido puede contener informaci privilegiada confidencial que est exenta ser revelada conforme con dispuesto legislaci vigente toda difusi distribuci reproducci este mensaje por parte otra persona que sea receptor que est destinado queda estrictamente prohibida recibe este mensaje por error ruega que notifique remitente borre este mensaje company post select following link view disclaimer alternate language,kwyozxgd gasxctph,GRP_25,English,English,English,1150,7,156,1
3383,nan,connected user system using teamviewer help user login portal issue resolved,qftpazns fxpnytmk,GRP_0,English,English,English,76,3,11,1
3384,issue,issue,ptljghyk qhtvlrxe,GRP_0,English,English,English,5,5,1,1
3385,multiple switch company usa usa since,switch company usa usa shippingarea access company usa usa furnace access located usa since,jyoqwxhz clhxsoqy,GRP_4,English,English,English,91,37,14,6
3386,drive connecting,drive connecting tried address checked server name user mentioned changed password vpn able connect drive rest driver working fine accessible informed user get touch one colleague get screen shot driver access also onfiirm drive tried mapping drive password nogo waiting user email,tnhzdapi juqcbdzl,GRP_0,English,English,English,281,16,42,2
3387,support,received hello could please help add customer engineering tool software maquinados precision mex magonza evercast tecnologia maquinados hidra saludos whoyizfp gclnfkis sale engineer,whoyizfp gclnfkis,GRP_25,English,English,English,181,7,23,1
3388,locked,received trying add change item get error listed cid image png sid knethyen grechduy engineer product engineering company cid image jpg ced company inc technology way usa www company com,jxgobwrm qkugdipo,GRP_0,English,English,English,186,6,30,1
3389,problem trs,received hello error sending trs connected vpn help,bvpglyzh dyhusejm,GRP_0,English,English,English,51,11,8,2
3390,msd crm,urgent help required outlook crm mfg tooltion issue problem detail set regarding calendar item account show assigned crm account record,goktenap kjnwotzq,GRP_22,English,English,English,135,7,20,2
3391,ticket update ticket,ticket update ticket,fumkcsji sarmtlhy,GRP_0,English,English,English,20,20,3,3
3392,skype error getting skype certificate error,skype error getting skype certificate error,xwzstlgj tzkbmgan,GRP_0,English,English,English,43,43,6,6
3393,logon balancing error erp even connecting vpn,unable connect erp module even connecting vpn logon balancing error working minute back,umkpayhc adflvbxg,GRP_0,English,English,English,87,45,13,7
3394,infopath issue,submit discount collaboration platform say access denied must add favorite happen,kinryjcf pgetfijq,GRP_0,English,English,English,81,14,11,2
3395,unable connect mobile broadband,unable connect mobile broadband,imoelsap gxdwkimv,GRP_0,English,English,English,31,31,4,4
3396,account locked,account locked,qifzkoej etbmgjvo,GRP_0,English,English,English,14,14,2,2
3397,interface fastethernet company johthryugftyson city company usa johthryugftyson city access company com,interface fastethernet company johthryugftyson city company usa johthryugftyson city access company com since logged switch found interface sep edt lineproto updown line protocol interface fastethernet changed state sep edt link updown interface fastethernet changed state company usa johthryugftyson city access,jloygrwh acvztedi,GRP_4,English,English,English,312,103,40,12
3398,erp sid account locked,erp sid account locked,nlrwqeti qarixwbv,GRP_0,English,English,English,22,22,4,4
3399,account locked,account locked,tqrylspg ijzghqwy,GRP_0,English,English,English,14,14,2,2
3400,account locked,account locked,vyjmlain hvjbmdgi,GRP_0,English,English,English,14,14,2,2
3401,audio issue dell,name ksgytjqr ojdukgzc language browser microsoft internet explorer customer number telephone summary cannot get volume high enough fine yesterday high enough conference call,ksgytjqr ojdukgzc,GRP_3,English,English,English,174,16,23,3
3402,password reset,password reset,oalprbtd nyxftpms,GRP_0,English,English,English,14,14,2,2
3403,performance speed issue mii,order took minute batch one work center bucket next order operation operation happened multiple order well,juaxnvwz reampilj,GRP_41,English,English,English,106,27,16,4
3404,outlook error,received able get outlook keep getting message telling stopped working want restart safe mode repair send phone,doxmlcpr xjheyscu,GRP_0,English,English,English,111,13,17,2
3405,need password management tool link,need password management tool link,vybmcrxo kirxdspz,GRP_0,English,English,English,34,34,5,5
3406,unable connect,unable connect,csmhykge mpxbjudw,GRP_0,English,English,English,14,14,2,2
3407,usa village clappdico company usa clappdico wireless access since,usa village clappdico company usa clappdico wireless access since gigabitethernet connection clappdico wireless switch company usa clappdico access,oldrctiu bxurpsyi,GRP_8,English,English,English,147,65,18,9
3408,internet explorer issue,internet explorer issue,zcaeryfo tdovhslb,GRP_0,English,English,English,23,23,3,3
3409,erp sid account unlock password reset,erp sid account unlock password reset,fcpnodsr nbrdxscg,GRP_0,English,English,English,37,37,6,6
3410,reset password oweklxnm ubayizsq window login,try change log password system keep stating old password correct disagree tried many time careful know typed old password correctly,oweklxnm ubayizsq,GRP_0,English,English,English,131,45,20,6
3411,erp sid password reset,erp sid password reset,zyxjagro vjgozhpn,GRP_0,English,English,English,22,22,4,4
3412,please unlock tpfghtlugn erp hana sid reset password,please unlock tpfghtlugn erp hana sid reset password,tivbxojn gorlajmp,GRP_53,English,English,English,52,52,8,8
3413,sfs company company com reporting status hostname please investigate,observing alert monitoring tool since sfs company company com reporting status hostname please investigate cpu load showing,jloygrwh acvztedi,GRP_14,English,English,English,123,68,17,9
3414,crm mobile phone,received good morning crm mobile device work please see screen shot wghjkftewj cid,qjiutmel fgvtxeoy,GRP_0,English,English,English,82,16,13,3
3415,unable get email synced samsung mobile device,unable get email synced samsung mobile device,vrjwyqtf qoxkapfw,GRP_0,English,English,English,45,45,7,7
3416,password reset,password reset,ojgxundh aegxpmvd,GRP_0,English,English,English,14,14,2,2
3417,user unable connect machine shop floor,user unable connect machine shop floor machine name mazak contact,pvlxjizg xzvlwqjc,GRP_4,English,English,English,65,38,10,6
3418,tool missing currency table tool prod,jurten setgyrt sent friday september stefyty parkeyhrt qikvnjzc evmrcqug subject tool missing currency table tool prod hello stefyty progress topic running trouble send two proposal cannot missing pricing best,crebvyhm nsegpdab,GRP_20,English,English,English,209,37,29,6
3419,office reinstall,office reinstall,ejvkzobl yijgokrn,GRP_0,English,English,English,16,16,2,2
3420,need little help please,received lunjuws recall new form developed tmb project specially per bakyhrer huhuyghes requirement please print email unless really need preserve tree planet earth smxoklny hbecskgl sent september damuphws arkulcoi le subject need little help please hcytr format one bakyhrer huhuyghes required bin number delivery note shathyra aware special requirement bakyhrer huhuyghes delivery note forgot hcytr mentioned best,bcefayom lzhwcgvb,GRP_18,English,English,English,416,23,57,4
3421,need little help please,received chanthrydru format one bakyhrer huhuyghes required bin number delivery note shathyra aware special requirement bakyhrer huhuyghes delivery note forgot chanthrydru mentioned best,khvzugxm yqfrcjwl,GRP_18,English,English,English,186,23,23,4
3422,please include purchase group analysis,please include field enter aqzz erpquery memepr,jycshmvf uewramti,GRP_20,English,English,English,47,38,7,5
3423,xerox office turn power outlet plugged good,xerox office turn power outlet plugged good,xzcwlqrv fjrdhiqt,GRP_3,English,English,English,43,43,7,7
3425,printer working,received dear sir printer msg second floor awyrthysm working please rectify problem immediately,ugyawsjv ypgjirlm,GRP_19,English,English,English,95,15,13,2
3426,outlook doens start,received hello many time system password change outlook doens start attached printscreen best,tzradpnj izlotycb,GRP_0,English,English,English,93,19,13,3
3427,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
3428,account assignment different profit center,rzucjgvp ioqjgmah sent friday september subgtybaryuao nyifqpmv kfirxjag subject erro log reg sutyu seems related issue requesting person look issue ramdntyassthywamy please help subgtybaryuao,eyxngjol lohcygnf,GRP_44,English,English,English,191,42,24,5
3429,erp access issue,system sid sid sid sid hrp sid enter user user issue magerjtyhd yadavtghya schgtewmik transaction code user need working zcopc describe issue please remove plant controller role three user discussed uylvgtfi eovkxgpn obdphylz qaeicrkz need access zcopc qbjmoihg nbgvyqac need would prefer could assign role team view instead plant controller getting authorized message recreate condition nsu attach result ticketing tool ticket provide access user,ipwjorsc uboapexr,GRP_2,English,English,English,447,16,64,3
3430,install tool und bls rechner olympus xwirzvda okhyipgr,install tool und bls rechner olympus xwirzvda okhyipgr,xwirzvda okhyipgr,GRP_24,English,English,English,54,54,8,8
3432,dd,ds,onctqhsg cpahzsle,GRP_0,English,English,English,2,2,1,1
3433,info type missing personal number,fbgetczn jlsvxura sent friday september nyifqpmv kfirxjag wjkzgyxh pktcqbxu subject unterhaltung mit nyifqpmv kfirxjag hello ramdntyassthywamy sebfghkasthian asked send attached screen shot mit freundlichen best,fbgetczn jlsvxura,GRP_10,English,English,English,211,33,25,5
3434,request access sid uacyltoe hxgaycze,received good day jfhytu mthyuleng senior buyer company anniversary logo,gkerqucv bqumyrea,GRP_0,English,English,English,72,36,10,5
3435,setup new ewew jionmpsf wnkpzcmv,setup new ewew jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,GRP_24,English,English,English,32,32,5,5
3437,outlook issue,received hello help outlook getting updated automatically periodically time time need update send receive folder issue persists since last wednesday sep system given dept improvement cid image png sid,xqoljzbh aydcwkxt,GRP_26,English,English,English,200,13,29,2
3439,erp pur wrong subcontracting demand material,hello component see wrong subcontracting demand erp coming parent strange thing referenced subcontracting need understand going wrong need remove incorrect demand,tckyrinp vbzqslco,GRP_29,English,English,English,162,44,21,6
3440,hostname volume space consumed space available,volume label dat hostname data fce server space consumed space available,bozdftwx smylqejw,GRP_39,English,English,English,72,46,11,6
3441,owa open,owa open error page displayed,wczrtsja crwioekx,GRP_0,English,English,English,29,8,5,2
3442,hostname volume space consumed space available,volume label sys hostname server space consumed space available,bozdftwx smylqejw,GRP_39,English,English,English,63,46,9,6
3443,user tempuser changed layout default setting everyone,erp sid finance user tempuser changed layout jinf default setting everyone tried figure layout default chosen erp know exactly really default happens time time user aware set default everyone,ipwjorsc uboapexr,GRP_10,English,English,English,191,53,29,7
3444,keine netzwerkverbindung rechner vhw,bitte netzwerkverbindung rechner vhw herstellen alicona messraum halle,wogicpdt jbdyzmhf,GRP_33,English,English,English,70,36,8,4
3445,appreciate hub password,received hello please reset appreciate hub password,xwertljy zrmlhkyq,GRP_0,English,English,English,51,23,7,3
3448,outlook take much time open,outlook take much time open,rxgvfoub fhqmvwrd,GRP_0,English,English,English,27,27,5,5
3449,unable change password password management tool,unable change password password management tool,ypuaejsc yoxrqtsn,GRP_0,English,English,English,47,47,6,6
3451,access printer trainee,received please provide access printer machine tool business trainee trainee name blapmcwk dgrkbnua login vvkusgtms computer awyw,jczwxvdn pexuklry,GRP_19,English,English,English,129,22,17,3
3452,error pgi delivery,gso please open ticket erp group review issue delivery pgi work assignment different profit center,aeiljfxg hzwxtyjr,GRP_44,English,English,English,98,18,15,3
3453,account lock release request nakagtwsgs,team please unlock window account nakagtwsgs user name qwghlvdx pjwvdiuz best,gworzkhc inypbucg,GRP_0,English,English,English,77,39,11,5
3454,password reset hsh,hello one workman aqihfoly xsrkthvf whose user hsh able login es user locked kiosk user please set password confirm noscwdpm akiowsmp manager shared service center,noscwdpm akiowsmp,GRP_0,English,English,English,163,18,25,3
3455,picture collaboration platform outlook skype user faerfrtbj,profile show different picture collaboration platform outlook skype see attached screenshots correct one one shown attachment actual jpg,gwrkhufx gsfrlqwi,GRP_16,English,English,English,136,59,18,7
3456,job job failed job scheduler,received job job failed job scheduler unable release guest error failed unfreeze guest system network mode rpc function call failed function name unfreeze target machine rpc error remote procedure call failed code,bpctwhsn kzqsbmtp,GRP_8,English,English,English,213,28,32,5
3457,password reset,received dear collegues need password reset erp hrp modul username rethtyuzkd gru,bctypmjw cbhnxafz,GRP_0,English,English,English,81,14,12,2
3458,allowed use dropbox,marcom team assigned task proofreading requires download dropdox,obfgkwim hlasbrmj,GRP_0,English,English,English,64,19,8,3
3459,erp account gesperrt,erp passwort mal verkehrt eingegeben bitte erp account freischalten,tqrylspg ijzghqwy,GRP_0,English,English,English,67,20,9,3
3460,add rtpcnyhq ceqmwkhi material management purchasing,received hello team please add rtpcnyhq ceqmwkhi material management purchasing group ticketing tool inxsupmy zhwmifvx team lead ssl sourcing logistics global,inxsupmy zhwmifvx,GRP_0,English,English,English,158,52,21,6
3461,job bwhrertran failed job scheduler,received job bwhrertran failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,44,35,6,5
3462,india coating interface vlan company ind india coating dmvpn rtr since,india coating interface vlan company ind india coating dmvpn rtr since,mnlazfsr mtqrkhnx,GRP_8,English,English,English,70,70,11,11
3463,engineering tool log problem,received changed password engineering tool day back showed successfully changed still able login please check error message image cid image jpg sid,pchjidaq pvtxjaml,GRP_0,English,English,English,147,28,22,4
3464,engineering tool problem,hello add new customer making new engineering tool entered country city used button new anymore,cuytdmhv yeqdmwvt,GRP_25,English,English,English,95,24,15,3
3465,apac apac temprature sensor yellow company chn apac access,temperature sensor yellow company chn apac access hardware component warning critical state detected,mnlazfsr mtqrkhnx,GRP_4,English,English,English,100,58,13,9
3466,vip outlook working receiving message licensed product,outlook working receiving message licensed product,qdilorms feayhdmu,GRP_19,English,English,English,50,54,6,7
3467,urgent new customer account,received hello unable proceed opening new customer account please advise issue cid image jpg sid,aunpdmlj kzhapcve,GRP_15,English,English,English,96,27,15,4
3468,sign password,received team recently advised password needed changing went password manager site changed password password different thing changed except one startup log onto computer failed change change one,fpedscxo acuvyqnx,GRP_0,English,English,English,194,13,27,2
3469,boot issue laptop,boot issue laptop user requesting local check laptop booting user tried plug power adaptor still service tag asset tag,koiapqbg teyldpkw,GRP_3,English,English,English,118,17,19,3
3470,computer keep going line,name sndaofyw jetcxpda language browser microsoft internet explorer customer number telephone summary computer keep going line,sndaofyw jetcxpda,GRP_0,English,English,English,126,24,16,4
3471,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
3472,job sid filesys failed job scheduler,received job sid filesys failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,45,36,7,6
3473,user recieving email iphone,user recieving email iphone checked user account fine checked user accont ecp site fine advised user contact vendor,bfmlysrk olbthfqr,GRP_0,English,English,English,115,27,18,4
3474,vip skype login issue,name rgtyob lafgseimer language browser microsoft internet explorer customer number telephone summary reset password today skype take password,pjkmtfeg wnrcyaks,GRP_0,English,English,English,142,21,18,4
3475,job sid filesys failed job scheduler,received job sid filesys failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,45,36,7,6
3476,software installation,name uprmwlgb kirvecja language browser microsoft internet explorer customer number telephone summary software installation,uprmwlgb kirvecja,GRP_0,English,English,English,123,21,14,2
3477,unable print erp job prtqv routing prtqv,unable print erp job prtqv routing prtqv,xpoqcrtb zwrypjqv,GRP_45,English,English,English,40,40,7,7
3478,change printer prtqv prtqv,change printer prtqv prtqv,xpoqcrtb zwrypjqv,GRP_0,English,English,English,26,26,4,4
3479,request reset microsoft online service password,microsoft behalf company inc sent thursday september nwfodmhc exurcwkm tiyhum kuyiomar subject amar request reset microsoft online service password importance high request reset user password following user organization requested password reset performed account first name angyta hgywselena last name brescsfgryiani acgyuna consider contacting user validate request authentic continuing determined valid request use service admin portal office window intune window azure etc reset password user want let user reset password check enable password reset user organization click sincerely company inc message sent unmonitored email address please reply message,vmdwslkj exvcknbp,GRP_0,English,English,English,658,47,87,6
3480,bill hartwell access drawing hostname department engineering process sheet cadkey dwgs,please assign bill necessary permission open drawing see attachment,zqrnveyx hajtfmcd,GRP_12,English,English,English,67,86,9,11
3481,quoting engine,received hello previous ticket issue experiencing today sure keep issue someone help understand something wrong something use daily need access inc inc description try look configuration rqfhiong zkwfqagb get error trying invoke method java util list iterator null object loaded local variable locallist,iauqlrjk nijdaukz,GRP_14,English,English,English,303,14,43,2
3482,product selector working,please investigate issue product selector currently data loaded company website,lenxvcbq vwnhjtoi,GRP_51,English,English,English,79,24,10,3
3483,display external monitor connected docking station,display external monitor connected docking station request kindly look video display issue computer get display external monitor docked docking station tried docking station able get display external monitor issue three month intermittent earlier discussed ghkkytu aware issue worked together reinstalled video driver issue still persists leave computer security request assistance,fumkcsji sarmtlhy,GRP_19,English,English,English,381,50,50,6
3484,ticket update ticket,ticket update ticket,fumkcsji sarmtlhy,GRP_0,English,English,English,20,20,3,3
3485,unable print printer install driver,unable print printer install driver,idlupnzr nkxylwrc,GRP_0,English,English,English,35,35,5,5
3486,mscrm outlook opening,mscrm outlook opening connected user system using teamviewer reconfigured user profile launched outlook caller confirmed able see email outlook issue resolved,gbwviklo ukwijqtm,GRP_0,English,English,English,158,21,21,3
3487,outlook open,stay open screen complete like day site meeting may able answer phone,hybiaxlk lawptzir,GRP_0,English,English,English,69,12,12,2
3488,unable access window account,unable access window account,quxtnlgd tqnjyzsm,GRP_0,English,English,English,28,28,4,4
3490,urgent help required crm mobile app,loading crm mobile app time return phone desktop completing download,jvshydix rzpmnylt,GRP_0,English,English,English,68,35,10,6
3491,user haveing issue skype audio,user haveing issue skype audio connected user system using teamviewer checked audio setting gave uacyltoe hxgaycze call user fine issue resolved,ibsywxpc icxhsbfv,GRP_0,English,English,English,144,30,21,5
3492,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_10,English,English,English,37,28,6,5
3493,collaboration platform permission help,made mistake change permission basically everything following page wanted see way restore permission yesterday,zhvrtnom waedkqzj,GRP_16,English,English,English,110,38,14,4
3494,user wanted help check email spam,user wanted help check email spam connected user system using teamviewer assigned ticket spam educated user issue resolved,ibsywxpc icxhsbfv,GRP_0,English,English,English,122,33,18,6
3495,skype problem,received hello problem skype able find colleague cid image png sid aefe,ztdgvclp gzcalstq,GRP_0,English,English,English,71,13,12,2
3496,cleanup,cleanup,lwgytuxq qspdztiw,GRP_0,English,English,English,7,7,1,1
3497,unable access bex analyzer,unable access bex analyzer nothing happens click name lmdl phone,jfgkmauh wfrgkejq,GRP_19,English,English,English,64,26,10,4
3498,erp login information misplaced,password reset needed,puxyqwjn zgmnsvjx,GRP_0,English,English,English,21,31,3,4
3499,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
3500,outlook asking reactivate,outlook asking reactivate,tfrpybxj qodbpvwj,GRP_27,English,English,English,25,25,3,3
3501,unable print printer color laser pcl,unable print printer color laser pcl connected user system using teamviewer printer keep asking update driver tried install driver contact computer name lhql user want local look many user faceing similar issue,edanpfzl qyrfndkp,GRP_3,English,English,English,210,36,32,6
3502,usb port issue,usb port work time,qubywmgf jouickqx,GRP_19,English,English,English,18,14,4,3
3503,upgrade,upgraded uacyltoe hxgaycze workstation,gzhapcld fdigznbk,GRP_19,English,English,English,38,7,4,1
3504,user want change erp printer prt prtqv prt prtqz,user want change erp printer prt prtqv prt prtqz,omiwzbue auvolfhp,GRP_0,English,English,English,48,48,9,9
3505,window account locked,window account locked,pyrtfdxu nxfkqmoy,GRP_0,English,English,English,21,21,3,3
3506,trying find expense report approve email say one approve showing,name bonhyb knepkhsw language browser microsoft internet explorer customer number telephone summary trying find expense report approve email say one approve showing,xziwkgeo gdiraveu,GRP_0,English,English,English,164,64,22,10
3507,crm app installation,crm app installation,itslpwra vybdkuoa,GRP_0,English,English,English,20,20,3,3
3508,cannot connect hostname engineering application going company vpn access hostname hostname hostname,cannot connect hostname engineering application going company vpn access hostname hostname hostname server vpn access hostname office access remotely vpn company com,ajdcnwtb bvijwxko,GRP_12,English,English,English,165,99,22,12
3509,unable install crm app galaxy,user samsung galaxy device android want install use dynamic crm app app requires android minimum,tuzkadxv rxloutpn,GRP_63,English,English,English,96,29,15,5
3510,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
3511,erp configair application sid uacyltoe hxgaycze environment working internal server error,configair server uacyltoe hxgaycze environment sid responds internal server error error trying invoke method java util list iterator null object loaded local variable locallist happens log erp language german happening model csscdrill mill model case log erp language csscdrill model working fine mill model model come select product platform system hang,iavozegx jpcudyfi,GRP_14,English,English,English,354,89,51,11
3512,hostname application plm scheduled task monitor node hostname critical state,hostname application plm scheduled task monitor node hostname critical state,rkupnshb gsmzfojw,GRP_14,English,English,English,76,76,10,10
3513,password reset,password reset,qgzfklpu dqumyvlo,GRP_0,English,English,English,14,14,2,2
3514,tool issue,tool issue since upgraded bit keep saying memory phone,ulmctsvi lbvrdika,GRP_25,English,English,English,54,10,9,2
3515,need upgrade,could please confirm upgrade occurred town week upgrade never prompted anything suspect happen need schedule upgrade computer please,qfcxbpht oiykfzlr,GRP_0,English,English,English,132,12,18,2
3516,sometimes ship address changed system,example problem discussed key user call,rhinvtua aquyjfbs,GRP_29,English,English,English,39,37,6,5
3517,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
3518,engineering tool issue high importance,received cid image png sid aff submitted several report couple day ago let create new report need issue resplved,xkegcqov drctxjqi,GRP_25,English,English,English,112,38,19,5
3519,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
3520,need access user collaboration platform,need access user collaboration platform summary cowqyjzm fzsxgapt informed stefyty smhdyhtis collaboration platform business permanently deleted day need access collaboration platform see information need,xmeytziq dcgwuvfk,GRP_16,English,English,English,204,39,24,5
3521,erp pur wrong subcontracting demand,hello material show piece demand plant parent refers subcontracting closed already component shipped vendor movement booked movement together movement good receipt show erp still demand piece wrong demand cleaned,tckyrinp vbzqslco,GRP_29,English,English,English,212,35,29,5
3522,cannot access collaboration platform,access collaboration platform asks username password go constant loop two field entered never actually get collaboration platform,qcfmxgid jvxanwre,GRP_0,English,English,English,129,36,17,4
3523,vitalyst unable see customer list crm,vitalyst unable see customer list crm see attached screenshot user lehhywsmat contact,oxkhntpl xwszgidt,GRP_22,English,English,English,85,37,12,6
